id first_name last_name birth_date work_place phone_number
1 rfkgozigih je 15.1.2016 ke +79693121931
2 qwoaceab ui 11.6.1929 rv +79735016067
3 olscbpxc sj 18.12.1925 vlwxhehz +79399245411
4 cvj tmwcjtlt 4.6.1933 qxpnag +79104631520
5 kb szw 16.5.1924 zyaajp +79931176645
6 hhprzignwc mhzzrl 29.12.2020 bm +79904316787
7 pendb feijc 29.5.1950 adpfj +79185009544
8 zmqizokv rlgcw 19.4.1930 wngpdslaz +79060486262
9 wxsxx dpvc 24.8.1947 pdmj +79471284910
10 wcxgkle qyfsjljv 28.2.1906 ygpbfz +79060312393
